num	premise	hypothesis	gold_label	template_num	time_format
50	エレン は 動向 に 変動 を 受けて いる 。	エレン は 現在 動向 に 変動 を 受けて いる 。	entailment	0	None
51	2020 年 以来 、 イヴァン は 科 に 入院 して いる 。 現在 、 2010 年 である 。	イヴァン は 2003 年 に は 科 に 入院 して いた 。	contradiction	1	年
52	2011 年 以来 、 マーヴィン は 米子 に 帰って いる 。 現在 、 2020 年 である 。	マーヴィン は 2006 年 に は 米子 に 帰って いた 。	contradiction	1	年
53	2002 年 以来 、 プロッド は 機関 に 提供 して いる 。 現在 、 2003 年 である 。	プロッド は 2013 年 に は 機関 に 提供 して いた 。	neutral	1	年
54	2011 年 以来 、 ボブ は 収穫 に 参加 して いる 。 現在 、 2015 年 である 。	ボブ は 2014 年 に は 収穫 に 参加 して いた 。	entailment	1	年
55	2012 年 以来 、 デイヴ は 休み に 開いて いる 。 現在 、 2017 年 である 。	デイヴ は 2017 年 に は 休み に 開いて いた 。	entailment	1	年
56	2015 年 以来 、 アリス は 鳥 に 出掛けて いる 。 現在 、 2004 年 である 。	アリス は 2006 年 に は 鳥 に 出掛けて いた 。	contradiction	1	年
57	2016 年 以来 、 ジャスティン は ブログ に 書いて いる 。 現在 、 2020 年 である 。	ジャスティン は 2006 年 に は ブログ に 書いて いた 。	contradiction	1	年
58	2003 年 以来 、 アイザック は 生徒 に 説明 して いる 。 現在 、 2014 年 である 。	アイザック は 2002 年 に は 生徒 に 説明 して いた 。	contradiction	1	年
59	2015 年 以来 、 キャロル は 報告 書 に 纏めて いる 。 現在 、 2006 年 である 。	キャロル は 2015 年 に は 報告 書 に 纏めて いた 。	neutral	1	年
60	2007 年 以来 、 デイヴ は 大阪 に 旅立って いる 。 現在 、 2002 年 である 。	デイヴ は 2018 年 に は 大阪 に 旅立って いた 。	neutral	1	年
61	2005 年 以来 、 ボブ は 買収 に 上げて いる 。 現在 、 2013 年 である 。	ボブ は 2019 年 に は 買収 に 上げて いた 。	neutral	1	年
62	2016 年 以来 、 デイヴ は 久し振りに 会って いる 。 現在 、 2005 年 である 。	デイヴ は 2007 年 に は 久し振りに 会って いた 。	contradiction	1	年
63	2014 年 以来 、 ボブ は 例 に 揚げて いる 。 現在 、 2003 年 である 。	ボブ は 2017 年 に は 例 に 揚げて いた 。	neutral	1	年
64	2001 年 以来 、 ウォルター は 手伝い に 参って いる 。 現在 、 2020 年 である 。	ウォルター は 2000 年 に は 手伝い に 参って いた 。	contradiction	1	年
65	2015 年 以来 、 パット は 母 に 贈って いる 。 現在 、 2004 年 である 。	パット は 2005 年 に は 母 に 贈って いた 。	contradiction	1	年
66	2003 年 以来 、 オスカー は バイリンガル に 育て いる 。 現在 、 2007 年 である 。	オスカー は 2016 年 に は バイリンガル に 育て いた 。	neutral	1	年
67	2003 年 以来 、 フランク は 報告 に 訪れて いる 。 現在 、 2013 年 である 。	フランク は 2006 年 に は 報告 に 訪れて いた 。	entailment	1	年
68	2007 年 以来 、 ビクター は 指定 に 鳴れて いる 。 現在 、 2018 年 である 。	ビクター は 2000 年 に は 指定 に 鳴れて いた 。	contradiction	1	年
69	2011 年 以来 、 ボブ は 産婦人科 に 入院 して いる 。 現在 、 2020 年 である 。	ボブ は 2008 年 に は 産婦人科 に 入院 して いた 。	contradiction	1	年
70	2007 年 以来 、 トルーディー は 休み に 行って いる 。 現在 、 2004 年 である 。	トルーディー は 2006 年 に は 休み に 行って いた 。	contradiction	1	年
71	2001 年 以来 、 スティーブ は 全員 に 繰れて いる 。 現在 、 2002 年 である 。	スティーブ は 2013 年 に は 全員 に 繰れて いた 。	neutral	1	年
72	2016 年 以来 、 キャロル は コメント に 貰って いる 。 現在 、 2014 年 である 。	キャロル は 2001 年 に は コメント に 貰って いた 。	contradiction	1	年
73	2004 年 以来 、 スティーブ は 発言 に 入れて いる 。 現在 、 2003 年 である 。	スティーブ は 2001 年 に は 発言 に 入れて いた 。	contradiction	1	年
74	2007 年 以来 、 イヴァン は 休み に 開いて いる 。 現在 、 2011 年 である 。	イヴァン は 2011 年 に は 休み に 開いて いた 。	entailment	1	年
75	2014 年 以来 、 プロッド は 雑誌 に 発表 して いる 。 現在 、 2010 年 である 。	プロッド は 2009 年 に は 雑誌 に 発表 して いた 。	contradiction	1	年
76	2013 年 以来 、 プロッド は 開発 に 突けて いる 。 現在 、 2016 年 である 。	プロッド は 2010 年 に は 開発 に 突けて いた 。	contradiction	1	年
77	2013 年 以来 、 エレン は 会社 に 払って いる 。 現在 、 2020 年 である 。	エレン は 2009 年 に は 会社 に 払って いた 。	contradiction	1	年
78	2018 年 以来 、 ボブ は ミュージカル に 出演 して いる 。 現在 、 2019 年 である 。	ボブ は 2004 年 に は ミュージカル に 出演 して いた 。	contradiction	1	年
79	2003 年 以来 、 デイヴ は ジム に 通って いる 。 現在 、 2018 年 である 。	デイヴ は 2003 年 に は ジム に 通って いた 。	entailment	1	年
80	2008 年 以来 、 チャーリー は ランキング に 入賞 して いる 。 現在 、 2010 年 である 。	チャーリー は 2016 年 に は ランキング に 入賞 して いた 。	neutral	1	年
81	2011 年 以来 、 マーヴィン は 私 に 振って いる 。 現在 、 2014 年 である 。	マーヴィン は 2012 年 に は 私 に 振って いた 。	entailment	1	年
82	2000 年 以来 、 アリス は 心 に 貰って いる 。 現在 、 2006 年 である 。	アリス は 2012 年 に は 心 に 貰って いた 。	neutral	1	年
83	2016 年 以来 、 プロッド は 直下 に 作成 して いる 。 現在 、 2000 年 である 。	プロッド は 2008 年 に は 直下 に 作成 して いた 。	contradiction	1	年
84	2003 年 以来 、 マーヴィン は ブログ に 出して いる 。 現在 、 2008 年 である 。	マーヴィン は 2017 年 に は ブログ に 出して いた 。	neutral	1	年
85	2016 年 以来 、 ペギー は 離婚 に 応じて いる 。 現在 、 2006 年 である 。	ペギー は 2018 年 に は 離婚 に 応じて いた 。	neutral	1	年
86	2017 年 以来 、 イブ は 大会 に 決まって いる 。 現在 、 2012 年 である 。	イブ は 2003 年 に は 大会 に 決まって いた 。	contradiction	1	年
87	2010 年 以来 、 ジャスティン は スポンサー に 上げて いる 。 現在 、 2010 年 である 。	ジャスティン は 2014 年 に は スポンサー に 上げて いた 。	neutral	1	年
88	2000 年 以来 、 アイザック は 治療 室 に 入院 して いる 。 現在 、 2004 年 である 。	アイザック は 2002 年 に は 治療 室 に 入院 して いた 。	entailment	1	年
89	2009 年 以来 、 オスカー は 江戸 に 開いて いる 。 現在 、 2014 年 である 。	オスカー は 2000 年 に は 江戸 に 開いて いた 。	contradiction	1	年
90	2020 年 以来 、 デイヴ は 磐田 に 移籍 して いる 。 現在 、 2007 年 である 。	デイヴ は 2011 年 に は 磐田 に 移籍 して いた 。	contradiction	1	年
91	2011 年 以来 、 マロリー は サイエンス に 発表 して いる 。 現在 、 2007 年 である 。	マロリー は 2007 年 に は サイエンス に 発表 して いた 。	contradiction	1	年
92	2019 年 以来 、 ペギー は 目の前 に 表して いる 。 現在 、 2019 年 である 。	ペギー は 2009 年 に は 目の前 に 表して いた 。	contradiction	1	年
93	2009 年 以来 、 キャロル は 様 に 遊んで いる 。 現在 、 2015 年 である 。	キャロル は 2003 年 に は 様 に 遊んで いた 。	contradiction	1	年
94	2008 年 以来 、 オスカー は 監督 に 贈って いる 。 現在 、 2009 年 である 。	オスカー は 2004 年 に は 監督 に 贈って いた 。	contradiction	1	年
95	2020 年 以来 、 ジャスティン は 職場 に 出して いる 。 現在 、 2006 年 である 。	ジャスティン は 2008 年 に は 職場 に 出して いた 。	contradiction	1	年
96	2003 年 以来 、 スティーブ は 廊下 に 倒れて いる 。 現在 、 2001 年 である 。	スティーブ は 2019 年 に は 廊下 に 倒れて いた 。	neutral	1	年
97	2002 年 以来 、 ゾーイ は 半分 に 切って いる 。 現在 、 2006 年 である 。	ゾーイ は 2000 年 に は 半分 に 切って いた 。	contradiction	1	年
98	2005 年 以来 、 エレン は グループ に 合流 して いる 。 現在 、 2007 年 である 。	エレン は 2020 年 に は グループ に 合流 して いた 。	neutral	1	年
99	2004 年 以来 、 パット は シンジ に 向けて いる 。 現在 、 2008 年 である 。	パット は 2017 年 に は シンジ に 向けて いた 。	neutral	1	年
100	2002 年 以来 、 キャロル は カレンダー に 鳴って いる 。 現在 、 2015 年 である 。	キャロル は 2019 年 に は カレンダー に 鳴って いた 。	neutral	1	年
101	2003 年 12 月 以来 、 ペギー は 声 に 開けて いる 。 現在 、 2017 年 9 月 である 。	ペギー は 2010 年 12 月 に は 声 に 開けて いた 。	entailment	1	年月
102	2015 年 12 月 以来 、 トルーディー は イチロ に 並んで いる 。 現在 、 2013 年 8 月 である 。	トルーディー は 2010 年 9 月 に は イチロ に 並んで いた 。	contradiction	1	年月
103	2005 年 12 月 以来 、 ビクター は 講演 会 に 出演 して いる 。 現在 、 2003 年 3 月 である 。	ビクター は 2012 年 2 月 に は 講演 会 に 出演 して いた 。	neutral	1	年月
104	2001 年 2 月 以来 、 トレント は 修理 に きて いる 。 現在 、 2000 年 11 月 である 。	トレント は 2003 年 6 月 に は 修理 に きて いた 。	neutral	1	年月
105	2015 年 1 月 以来 、 スティーブ は 近く に 待って いる 。 現在 、 2009 年 3 月 である 。	スティーブ は 2011 年 2 月 に は 近く に 待って いた 。	contradiction	1	年月
106	2001 年 11 月 以来 、 トルーディー は 直 に 受けて いる 。 現在 、 2016 年 7 月 である 。	トルーディー は 2007 年 9 月 に は 直 に 受けて いた 。	entailment	1	年月
107	2018 年 3 月 以来 、 アイザック は 決勝 戦 に 進めて いる 。 現在 、 2004 年 9 月 である 。	アイザック は 2003 年 6 月 に は 決勝 戦 に 進めて いた 。	contradiction	1	年月
108	2011 年 7 月 以来 、 イヴァン は 神様 に 申し上げて いる 。 現在 、 2004 年 2 月 である 。	イヴァン は 2009 年 9 月 に は 神様 に 申し上げて いた 。	contradiction	1	年月
109	2011 年 9 月 以来 、 チャーリー は 内 に 結婚 して いる 。 現在 、 2000 年 2 月 である 。	チャーリー は 2004 年 1 月 に は 内 に 結婚 して いた 。	contradiction	1	年月
110	2007 年 4 月 以来 、 チャーリー は 列車 に 発生 して いる 。 現在 、 2017 年 2 月 である 。	チャーリー は 2019 年 3 月 に は 列車 に 発生 して いた 。	neutral	1	年月
111	2013 年 6 月 以来 、 マレット は 日本 に 送って いる 。 現在 、 2009 年 3 月 である 。	マレット は 2008 年 10 月 に は 日本 に 送って いた 。	contradiction	1	年月
112	2000 年 6 月 以来 、 トレント は 手 に 握って いる 。 現在 、 2007 年 6 月 である 。	トレント は 2018 年 7 月 に は 手 に 握って いた 。	neutral	1	年月
113	2006 年 5 月 以来 、 ジャスティン は 休み に 開いて いる 。 現在 、 2020 年 11 月 である 。	ジャスティン は 2017 年 10 月 に は 休み に 開いて いた 。	entailment	1	年月
114	2004 年 10 月 以来 、 エレン は 別荘 に 行って いる 。 現在 、 2004 年 7 月 である 。	エレン は 2003 年 12 月 に は 別荘 に 行って いた 。	contradiction	1	年月
115	2017 年 10 月 以来 、 アリス は 雑誌 に 発表 して いる 。 現在 、 2014 年 7 月 である 。	アリス は 2019 年 4 月 に は 雑誌 に 発表 して いた 。	neutral	1	年月
116	2006 年 7 月 以来 、 ウォルター は メーン に 選んで いる 。 現在 、 2017 年 2 月 である 。	ウォルター は 2006 年 11 月 に は メーン に 選んで いた 。	entailment	1	年月
117	2016 年 5 月 以来 、 マレット は セット に 世話 して いる 。 現在 、 2015 年 1 月 である 。	マレット は 2018 年 5 月 に は セット に 世話 して いた 。	neutral	1	年月
118	2019 年 10 月 以来 、 プロッド は 客 に 案内 して いる 。 現在 、 2019 年 8 月 である 。	プロッド は 2020 年 4 月 に は 客 に 案内 して いた 。	neutral	1	年月
119	2005 年 5 月 以来 、 ペギー は 会見 に 登壇 して いる 。 現在 、 2017 年 6 月 である 。	ペギー は 2020 年 2 月 に は 会見 に 登壇 して いた 。	neutral	1	年月
120	2010 年 2 月 以来 、 フランク は 大会 に 決めて いる 。 現在 、 2014 年 4 月 である 。	フランク は 2003 年 3 月 に は 大会 に 決めて いた 。	contradiction	1	年月
121	2013 年 10 月 以来 、 ゾーイ は セット に 世話 して いる 。 現在 、 2003 年 1 月 である 。	ゾーイ は 2009 年 11 月 に は セット に 世話 して いた 。	contradiction	1	年月
122	2010 年 2 月 以来 、 アリス は 以下 に 定めて いる 。 現在 、 2007 年 7 月 である 。	アリス は 2008 年 8 月 に は 以下 に 定めて いた 。	contradiction	1	年月
123	2004 年 7 月 以来 、 ペギー は ノート に 書いて いる 。 現在 、 2005 年 5 月 である 。	ペギー は 2007 年 7 月 に は ノート に 書いて いた 。	neutral	1	年月
124	2019 年 5 月 以来 、 マレット は 向上 に 発揮 して いる 。 現在 、 2010 年 7 月 である 。	マレット は 2009 年 1 月 に は 向上 に 発揮 して いた 。	contradiction	1	年月
125	2011 年 1 月 以来 、 ウォルター は ステージ に 進めて いる 。 現在 、 2003 年 1 月 である 。	ウォルター は 2015 年 12 月 に は ステージ に 進めて いた 。	neutral	1	年月
126	2014 年 10 月 以来 、 イヴァン は 市 に 泊まって いる 。 現在 、 2019 年 11 月 である 。	イヴァン は 2009 年 1 月 に は 市 に 泊まって いた 。	contradiction	1	年月
127	2000 年 12 月 以来 、 キャロル は 提案 に 振って いる 。 現在 、 2017 年 6 月 である 。	キャロル は 2003 年 3 月 に は 提案 に 振って いた 。	entailment	1	年月
128	2008 年 12 月 以来 、 イブ は 埼玉 に 引っ越して いる 。 現在 、 2009 年 6 月 である 。	イブ は 2019 年 5 月 に は 埼玉 に 引っ越して いた 。	neutral	1	年月
129	2012 年 12 月 以来 、 チャーリー は 新聞 に 受けて いる 。 現在 、 2019 年 12 月 である 。	チャーリー は 2013 年 10 月 に は 新聞 に 受けて いた 。	entailment	1	年月
130	2002 年 11 月 以来 、 ジャスティン は 雑誌 に 発表 して いる 。 現在 、 2014 年 5 月 である 。	ジャスティン は 2015 年 9 月 に は 雑誌 に 発表 して いた 。	neutral	1	年月
131	2015 年 5 月 以来 、 マレット は 学校 に 出して いる 。 現在 、 2009 年 7 月 である 。	マレット は 2008 年 8 月 に は 学校 に 出して いた 。	contradiction	1	年月
132	2007 年 5 月 以来 、 ビクター は 会員 に 致して いる 。 現在 、 2019 年 1 月 である 。	ビクター は 2005 年 7 月 に は 会員 に 致して いた 。	contradiction	1	年月
133	2011 年 2 月 以来 、 イブ は 会場 に 案内 して いる 。 現在 、 2015 年 2 月 である 。	イブ は 2009 年 8 月 に は 会場 に 案内 して いた 。	contradiction	1	年月
134	2007 年 6 月 以来 、 アイザック は 対象 に 開いて いる 。 現在 、 2007 年 7 月 である 。	アイザック は 2006 年 9 月 に は 対象 に 開いて いた 。	contradiction	1	年月
135	2008 年 8 月 以来 、 ゾーイ は 言葉 に 入れて いる 。 現在 、 2011 年 12 月 である 。	ゾーイ は 2005 年 11 月 に は 言葉 に 入れて いた 。	contradiction	1	年月
136	2010 年 4 月 以来 、 チャーリー は 海中 に 消して いる 。 現在 、 2016 年 9 月 である 。	チャーリー は 2018 年 4 月 に は 海中 に 消して いた 。	neutral	1	年月
137	2003 年 5 月 以来 、 パット は 人々 に 伝えて いる 。 現在 、 2010 年 1 月 である 。	パット は 2013 年 5 月 に は 人々 に 伝えて いた 。	neutral	1	年月
138	2000 年 8 月 以来 、 チャーリー は 会頭 に 就任 して いる 。 現在 、 2020 年 2 月 である 。	チャーリー は 2015 年 7 月 に は 会頭 に 就任 して いた 。	entailment	1	年月
139	2010 年 8 月 以来 、 エレン は 薬学 部 に 通って いる 。 現在 、 2014 年 1 月 である 。	エレン は 2017 年 12 月 に は 薬学 部 に 通って いた 。	neutral	1	年月
140	2005 年 11 月 以来 、 スティーブ は リアル タイム に 届けて いる 。 現在 、 2011 年 8 月 である 。	スティーブ は 2009 年 1 月 に は リアル タイム に 届けて いた 。	entailment	1	年月
141	2005 年 4 月 以来 、 スティーブ は 休み に 開いて いる 。 現在 、 2003 年 7 月 である 。	スティーブ は 2007 年 8 月 に は 休み に 開いて いた 。	neutral	1	年月
142	2011 年 3 月 以来 、 ボブ は 研究 所 に 通って いる 。 現在 、 2012 年 11 月 である 。	ボブ は 2012 年 11 月 に は 研究 所 に 通って いた 。	entailment	1	年月
143	2009 年 11 月 以来 、 ウォルター は 問い合わせ に 答えて いる 。 現在 、 2017 年 8 月 である 。	ウォルター は 2020 年 11 月 に は 問い合わせ に 答えて いた 。	neutral	1	年月
144	2017 年 11 月 以来 、 トルーディー は 会社 に 行って いる 。 現在 、 2020 年 1 月 である 。	トルーディー は 2018 年 5 月 に は 会社 に 行って いた 。	entailment	1	年月
145	2016 年 2 月 以来 、 ウォルター は 本棚 に 伸ばして いる 。 現在 、 2002 年 8 月 である 。	ウォルター は 2015 年 11 月 に は 本棚 に 伸ばして いた 。	contradiction	1	年月
146	2009 年 2 月 以来 、 エレン は 男性 に 聞いて いる 。 現在 、 2007 年 7 月 である 。	エレン は 2010 年 11 月 に は 男性 に 聞いて いた 。	neutral	1	年月
147	2014 年 1 月 以来 、 ペギー は 修理 に きて いる 。 現在 、 2014 年 3 月 である 。	ペギー は 2011 年 8 月 に は 修理 に きて いた 。	contradiction	1	年月
148	2002 年 11 月 以来 、 ウォルター は 中国 に 旅立って いる 。 現在 、 2000 年 7 月 である 。	ウォルター は 2000 年 5 月 に は 中国 に 旅立って いた 。	contradiction	1	年月
149	2008 年 5 月 以来 、 アイザック は 雑誌 に 発表 して いる 。 現在 、 2005 年 3 月 である 。	アイザック は 2009 年 7 月 に は 雑誌 に 発表 して いた 。	neutral	1	年月
150	2019 年 12 月 以来 、 パット は ど真ん中 に 居る 。 現在 、 2009 年 12 月 である 。	パット は 2012 年 12 月 に は ど真ん中 に 居った 。	contradiction	1	年月
151	3 月 以来 、 アイザック は 生徒 に 説明 して いる 。 現在 、 2 月 である 。	アイザック は 3 月 に は 生徒 に 説明 して いた 。	neutral	1	月
152	10 月 以来 、 マーヴィン は 神 に 祈って いる 。 現在 、 8 月 である 。	マーヴィン は 12 月 に は 神 に 祈って いた 。	neutral	1	月
153	1 月 以来 、 イヴァン は イベント に 決定 して いる 。 現在 、 5 月 である 。	イヴァン は 6 月 に は イベント に 決定 して いた 。	neutral	1	月
154	7 月 以来 、 ジャスティン は 大分 に 行って いる 。 現在 、 4 月 である 。	ジャスティン は 11 月 に は 大分 に 行って いた 。	neutral	1	月
155	3 月 以来 、 ウォルター は 受け取り に 伺って いる 。 現在 、 10 月 である 。	ウォルター は 7 月 に は 受け取り に 伺って いた 。	entailment	1	月
156	9 月 以来 、 イヴァン は 闇夜 に 響いて いる 。 現在 、 3 月 である 。	イヴァン は 9 月 に は 闇夜 に 響いて いた 。	neutral	1	月
157	10 月 以来 、 チャーリー は デスノート に 書いて いる 。 現在 、 2 月 である 。	チャーリー は 12 月 に は デスノート に 書いて いた 。	neutral	1	月
158	12 月 以来 、 ボブ は 話 に 入れて いる 。 現在 、 7 月 である 。	ボブ は 3 月 に は 話 に 入れて いた 。	contradiction	1	月
159	6 月 以来 、 アリス は サイズ に 生ずる て いる 。 現在 、 7 月 である 。	アリス は 12 月 に は サイズ に 生ずる ていた 。	neutral	1	月
160	7 月 以来 、 フランク は 新聞 に 受けて いる 。 現在 、 2 月 である 。	フランク は 3 月 に は 新聞 に 受けて いた 。	contradiction	1	月
161	8 月 以来 、 ジャスティン は 細胞 に 伝えて いる 。 現在 、 5 月 である 。	ジャスティン は 3 月 に は 細胞 に 伝えて いた 。	contradiction	1	月
162	2 月 以来 、 イヴァン は 相手 に 喫して いる 。 現在 、 9 月 である 。	イヴァン は 6 月 に は 相手 に 喫して いた 。	entailment	1	月
163	4 月 以来 、 イブ は 一部 に 鳴って いる 。 現在 、 5 月 である 。	イブ は 4 月 に は 一部 に 鳴って いた 。	entailment	1	月
164	4 月 以来 、 フランク は 卒業 式 に 歌って いる 。 現在 、 3 月 である 。	フランク は 10 月 に は 卒業 式 に 歌って いた 。	neutral	1	月
165	4 月 以来 、 トルーディー は 胸 に 抱き締めて いる 。 現在 、 5 月 である 。	トルーディー は 6 月 に は 胸 に 抱き締めて いた 。	neutral	1	月
166	5 月 以来 、 マチルダ は 選手 に 喫して いる 。 現在 、 4 月 である 。	マチルダ は 7 月 に は 選手 に 喫して いた 。	neutral	1	月
167	11 月 以来 、 マーヴィン は ファイナル に 進んで いる 。 現在 、 9 月 である 。	マーヴィン は 8 月 に は ファイナル に 進んで いた 。	contradiction	1	月
168	10 月 以来 、 マチルダ は 協力 に 述べて いる 。 現在 、 5 月 である 。	マチルダ は 1 月 に は 協力 に 述べて いた 。	contradiction	1	月
169	1 月 以来 、 マロリー は 修理 に きて いる 。 現在 、 8 月 である 。	マロリー は 5 月 に は 修理 に きて いた 。	entailment	1	月
170	8 月 以来 、 マレット は 知事 に 報告 して いる 。 現在 、 7 月 である 。	マレット は 2 月 に は 知事 に 報告 して いた 。	contradiction	1	月
171	2 月 以来 、 キャロル は ドーム に 迎えて いる 。 現在 、 1 月 である 。	キャロル は 8 月 に は ドーム に 迎えて いた 。	neutral	1	月
172	6 月 以来 、 イブ は 外 に やってきて いる 。 現在 、 12 月 である 。	イブ は 2 月 に は 外 に やってきて いた 。	contradiction	1	月
173	1 月 以来 、 デイヴ は オフィス に 出掛けて いる 。 現在 、 4 月 である 。	デイヴ は 9 月 に は オフィス に 出掛けて いた 。	neutral	1	月
174	6 月 以来 、 マロリー は 前面 に 出して いる 。 現在 、 9 月 である 。	マロリー は 2 月 に は 前面 に 出して いた 。	contradiction	1	月
